,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
2007,2018-05-25,2018-06-15,1619.9999999999998,25.175,2018-09-21,1620.0,96.875,80.50749969482422,1610.1499938964844
2008,2018-05-25,2018-06-15,1630.0,20.674999999999997,2018-09-21,1640.0000000000002,85.33946117763286,80.50749969482422,1610.1499938964844
2009,2018-05-25,2018-06-15,1635.0,18.625,2018-09-21,1670.0,73.45,80.50749969482422,1610.1499938964844
2010,2018-05-25,2018-06-15,1640.0,16.78493739406224,2018-09-21,1700.0,61.42499999999999,80.50749969482422,1610.1499938964844
2011,2018-05-25,2018-06-15,1644.9999999999998,15.0,2018-09-21,1739.9999999999998,47.7,80.50749969482422,1610.1499938964844
2012,2018-05-25,2018-06-15,1650.0000000000002,13.449999999999998,2018-09-21,1790.0,32.09401540719295,80.50749969482422,1610.1499938964844
2013,2018-05-25,2018-06-15,1655.0,11.874111501659156,2018-09-21,1800.0,31.8,80.50749969482422,1610.1499938964844
2014,2018-05-25,2018-06-15,1660.0,10.55,2018-09-21,1840.0000000000002,23.8,80.50749969482422,1610.1499938964844
2015,2018-05-25,2018-06-15,1670.0000000000002,8.225000000000001,2018-09-21,1900.0000000000002,15.124999999999998,80.50749969482422,1610.1499938964844
2016,2018-05-25,2018-06-15,1680.0,6.374999999999999,2018-09-21,1920.0,12.669080994067325,80.50749969482422,1610.1499938964844
2017,2018-05-25,2018-06-15,1690.0,4.9,2018-09-21,1940.0,11.075,80.50749969482422,1610.1499938964844
2018,2018-05-25,2018-06-15,1699.9999999999998,3.65,2018-09-21,1999.9999999999998,6.625,80.50749969482422,1610.1499938964844
2019,2018-05-25,2018-06-15,1750.0000000000002,0.96,2018-09-21,2200.0,1.67,80.50749969482422,1610.1499938964844
2020,2018-05-29,2018-06-15,1570.0,58.349999999999994,2018-09-21,1300.0,336.15,80.64350128173828,1612.8700256347656
2021,2018-05-29,2018-06-15,1580.0,51.0,2018-09-21,1320.0,316.95257728245775,80.64350128173828,1612.8700256347656
2022,2018-05-29,2018-06-15,1590.0,44.1,2018-09-21,1400.0,249.3,80.64350128173828,1612.8700256347656
2023,2018-05-29,2018-06-15,1600.0,37.575,2018-09-21,1500.0,170.65247140524153,80.64350128173828,1612.8700256347656
2024,2018-05-29,2018-06-15,1605.0,34.57433959535113,2018-09-21,1550.0,137.88701434683475,80.64350128173828,1612.8700256347656
2025,2018-05-29,2018-06-15,1610.0,31.821683682285304,2018-09-21,1570.0,128.03469168655485,80.64350128173828,1612.8700256347656
2026,2018-05-29,2018-06-15,1615.0,29.15,2018-09-21,1590.0,114.92500000000001,80.64350128173828,1612.8700256347656
2027,2018-05-29,2018-06-15,1619.9999999999998,26.475,2018-09-21,1600.0,109.325,80.64350128173828,1612.8700256347656
2028,2018-05-29,2018-06-15,1625.0,24.1,2018-09-21,1610.0,103.925,80.64350128173828,1612.8700256347656
2029,2018-05-29,2018-06-15,1630.0000000000002,21.8,2018-09-21,1620.0,98.6,80.64350128173828,1612.8700256347656
2030,2018-05-29,2018-06-15,1639.9999999999998,17.625,2018-09-21,1629.9999999999998,93.14763649824273,80.64350128173828,1612.8700256347656
2031,2018-05-29,2018-06-15,1645.0000000000002,15.800000000000002,2018-09-21,1640.0,88.71610879174881,80.64350128173828,1612.8700256347656
2032,2018-05-29,2018-06-15,1650.0000000000002,14.125,2018-09-21,1649.9999999999998,83.875,80.64350128173828,1612.8700256347656
2033,2018-05-29,2018-06-15,1655.0,12.524999999999999,2018-09-21,1670.0,74.825,80.64350128173828,1612.8700256347656
2034,2018-05-29,2018-06-15,1660.0,11.125,2018-09-21,1690.0,66.475,80.64350128173828,1612.8700256347656
2035,2018-05-29,2018-06-15,1670.0,8.675,2018-09-21,1700.0,62.65,80.64350128173828,1612.8700256347656
2036,2018-05-29,2018-06-15,1680.0,6.624999999999999,2018-09-21,1799.9999999999998,32.375,80.64350128173828,1612.8700256347656
2037,2018-05-29,2018-06-15,1700.0000000000002,3.9,2018-09-21,1979.9999999999998,8.475,80.64350128173828,1612.8700256347656
2038,2018-05-29,2018-06-15,1720.0,2.23,2018-09-21,2000.0000000000002,7.3,80.64350128173828,1612.8700256347656
2039,2018-05-29,2018-06-15,1750.0,1.025,2018-09-21,2100.0,3.5,80.64350128173828,1612.8700256347656
2040,2018-05-30,2018-06-15,1500.0,129.375,2018-09-21,1400.0,257.775,81.24449920654297,1624.8899841308594
2041,2018-05-30,2018-06-15,1555.0,78.775,2018-09-21,1500.0,179.025,81.24449920654297,1624.8899841308594
2042,2018-05-30,2018-06-15,1580.0,57.875,2018-09-21,1570.0,131.85000000000002,81.24449920654297,1624.8899841308594
2043,2018-05-30,2018-06-15,1600.0,42.95,2018-09-21,1600.0,113.80000000000001,81.24449920654297,1624.8899841308594
2044,2018-05-30,2018-06-15,1610.0,36.225,2018-09-21,1610.0,107.78485560396591,81.24449920654297,1624.8899841308594
2045,2018-05-30,2018-06-15,1615.0,33.0,2018-09-21,1620.0,102.625,81.24449920654297,1624.8899841308594
2046,2018-05-30,2018-06-15,1620.0,30.100000000000005,2018-09-21,1630.0,97.37856931410495,81.24449920654297,1624.8899841308594
