,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
18,2018-01-02,2018-01-19,1480.0,0.125,2018-04-20,1640.0000000000002,1.1400000000000001,59.45050048828125,1189.010009765625
19,2018-01-03,2018-01-19,1210.0,13.975,2018-04-20,1260.0,40.6,60.209999084472656,1204.1999816894531
20,2018-01-03,2018-01-19,1220.0,10.225,2018-04-20,1280.0000000000002,28.531440406703755,60.209999084472656,1204.1999816894531
21,2018-01-03,2018-01-19,1230.0,7.05,2018-04-20,1300.0,28.1,60.209999084472656,1204.1999816894531
22,2018-01-03,2018-01-19,1240.0,4.95,2018-04-20,1320.0,23.15,60.209999084472656,1204.1999816894531
23,2018-01-03,2018-01-19,1249.9999999999998,3.4749999999999996,2018-04-20,1340.0,17.926926674253867,60.209999084472656,1204.1999816894531
24,2018-01-03,2018-01-19,1260.0,2.45,2018-04-20,1360.0,15.318412600615272,60.209999084472656,1204.1999816894531
25,2018-01-03,2018-01-19,1270.0000000000002,1.74,2018-04-20,1380.0,12.625,60.209999084472656,1204.1999816894531
26,2018-01-03,2018-01-19,1279.9999999999998,1.2650000000000001,2018-04-20,1400.0,12.714229139550401,60.209999084472656,1204.1999816894531
27,2018-01-03,2018-01-19,1290.0,1.055,2018-04-20,1420.0,12.744753750898541,60.209999084472656,1204.1999816894531
28,2018-01-03,2018-01-19,1300.0,0.868968680280072,2018-04-20,1440.0,6.875,60.209999084472656,1204.1999816894531
29,2018-01-03,2018-01-19,1310.0,0.776220884166331,2018-04-20,1460.0,5.639211952727664,60.209999084472656,1204.1999816894531
30,2018-01-03,2018-01-19,1320.0,0.685,2018-04-20,1480.0,4.675000000000001,60.209999084472656,1204.1999816894531
31,2018-01-03,2018-01-19,1330.0,0.5904844160440267,2018-04-20,1500.0,3.825,60.209999084472656,1204.1999816894531
32,2018-01-03,2018-01-19,1340.0,0.49901242471386653,2018-04-20,1520.0,3.118828774114461,60.209999084472656,1204.1999816894531
33,2018-01-03,2018-01-19,1349.9999999999998,0.41000000000000003,2018-04-20,1540.0,2.745,60.209999084472656,1204.1999816894531
34,2018-01-03,2018-01-19,1359.9999999999998,0.3135829569429367,2018-04-20,1560.0,2.34,60.209999084472656,1204.1999816894531
35,2018-01-03,2018-01-19,1370.0,0.255,2018-04-20,1580.0,2.0250567863462354,60.209999084472656,1204.1999816894531
36,2018-01-03,2018-01-19,1380.0,0.23,2018-04-20,1620.0,1.52,60.209999084472656,1204.1999816894531
37,2018-01-03,2018-01-19,1390.0,0.2299963149678201,2018-04-20,1680.0000000000002,1.08,60.209999084472656,1204.1999816894531
38,2018-01-04,2018-01-19,1219.9999999999998,12.075,2018-04-20,1260.0,45.15859027044725,60.47949981689453,1209.5899963378906
39,2018-01-04,2018-01-19,1230.0,8.375,2018-04-20,1280.0,34.98279065895507,60.47949981689453,1209.5899963378906
40,2018-01-04,2018-01-19,1240.0,5.675,2018-04-20,1300.0,29.625,60.47949981689453,1209.5899963378906
41,2018-01-04,2018-01-19,1250.0,3.9,2018-04-20,1320.0,22.9481008846069,60.47949981689453,1209.5899963378906
42,2018-01-04,2018-01-19,1260.0,2.665,2018-04-20,1340.0,20.025,60.47949981689453,1209.5899963378906
43,2018-01-04,2018-01-19,1270.0,1.9500000000000002,2018-04-20,1360.0,19.75639234149801,60.47949981689453,1209.5899963378906
44,2018-01-04,2018-01-19,1280.0,1.4,2018-04-20,1380.0,12.038460719834607,60.47949981689453,1209.5899963378906
45,2018-01-04,2018-01-19,1290.0,1.12,2018-04-20,1399.9999999999998,12.15700847841532,60.47949981689453,1209.5899963378906
46,2018-01-04,2018-01-19,1300.0,0.9199999999999999,2018-04-20,1420.0,8.825,60.47949981689453,1209.5899963378906
47,2018-01-04,2018-01-19,1310.0,0.72,2018-04-20,1440.0,7.225,60.47949981689453,1209.5899963378906
48,2018-01-04,2018-01-19,1319.9999999999998,0.6253372479271038,2018-04-20,1460.0,5.628829113392866,60.47949981689453,1209.5899963378906
49,2018-01-04,2018-01-19,1330.0,0.5368951048207294,2018-04-20,1480.0,5.47083084470808,60.47949981689453,1209.5899963378906
50,2018-01-04,2018-01-19,1340.0,0.44922514370218575,2018-04-20,1500.0000000000002,4.15957921519498,60.47949981689453,1209.5899963378906
51,2018-01-04,2018-01-19,1350.0,0.36000000000000004,2018-04-20,1520.0,3.2955868141812554,60.47949981689453,1209.5899963378906
52,2018-01-04,2018-01-19,1360.0,0.28,2018-04-20,1540.0,2.9139110721803534,60.47949981689453,1209.5899963378906
53,2018-01-04,2018-01-19,1369.9999999999998,0.20637611487591423,2018-04-20,1560.0000000000002,2.516713992813551,60.47949981689453,1209.5899963378906
54,2018-01-04,2018-01-19,1380.0,0.20318891366196476,2018-04-20,1580.0,2.1399999999999997,60.47949981689453,1209.5899963378906
55,2018-01-04,2018-01-19,1390.0,0.2,2018-04-20,1680.0,1.07,60.47949981689453,1209.5899963378906
56,2018-01-04,2018-01-19,1400.0,0.19684175645747734,2018-04-20,1700.0,0.975,60.47949981689453,1209.5899963378906
57,2018-01-05,2018-01-19,1230.0000000000002,15.275,2018-04-20,1280.0,41.4,61.45700073242188,1229.1400146484377
58,2018-01-05,2018-01-19,1232.5,14.125,2018-04-20,1300.0000000000002,34.34678588247489,61.45700073242188,1229.1400146484377
59,2018-01-05,2018-01-19,1235.0,12.98485952646301,2018-04-20,1320.0,30.632682824551065,61.45700073242188,1229.1400146484377
60,2018-01-05,2018-01-19,1237.5,11.925,2018-04-20,1339.9999999999998,23.35,61.45700073242188,1229.1400146484377
61,2018-01-05,2018-01-19,1240.0000000000002,10.975,2018-04-20,1360.0,18.899508092147617,61.45700073242188,1229.1400146484377
62,2018-01-05,2018-01-19,1245.0,9.15,2018-04-20,1380.0,15.4,61.45700073242188,1229.1400146484377
63,2018-01-05,2018-01-19,1250.0,7.65,2018-04-20,1399.9999999999998,14.492456394865197,61.45700073242188,1229.1400146484377
64,2018-01-05,2018-01-19,1252.5,6.928108309342241,2018-04-20,1420.0,10.023606587722625,61.45700073242188,1229.1400146484377
65,2018-01-05,2018-01-19,1260.0,5.15,2018-04-20,1440.0,8.25,61.45700073242188,1229.1400146484377
66,2018-01-05,2018-01-19,1270.0000000000002,3.375,2018-04-20,1460.0,6.283110150743636,61.45700073242188,1229.1400146484377
67,2018-01-05,2018-01-19,1275.0,2.837208646501272,2018-04-20,1480.0,6.085698534343913,61.45700073242188,1229.1400146484377
68,2018-01-05,2018-01-19,1280.0,2.335,2018-04-20,1500.0,4.563688611567724,61.45700073242188,1229.1400146484377
69,2018-01-05,2018-01-19,1290.0,1.71,2018-04-20,1520.0,3.521702758763843,61.45700073242188,1229.1400146484377
70,2018-01-05,2018-01-19,1300.0000000000002,1.21,2018-04-20,1540.0,3.119995974115496,61.45700073242188,1229.1400146484377
71,2018-01-05,2018-01-19,1310.0,1.0,2018-04-20,1560.0,2.7171451618119855,61.45700073242188,1229.1400146484377
72,2018-01-05,2018-01-19,1320.0,0.8400000000000002,2018-04-20,1580.0,2.32,61.45700073242188,1229.1400146484377
73,2018-01-05,2018-01-19,1349.9999999999998,0.51,2018-04-20,1600.0,2.196298992868831,61.45700073242188,1229.1400146484377
74,2018-01-05,2018-01-19,1400.0,0.27,2018-04-20,1620.0,1.74,61.45700073242188,1229.1400146484377
75,2018-01-05,2018-01-19,1420.0,0.20000000000000004,2018-04-20,1700.0,1.035,61.45700073242188,1229.1400146484377
76,2018-01-08,2018-01-19,1247.5,14.725,2018-04-20,1300.0,43.59212583852013,62.34349822998047,1246.8699645996094
77,2018-01-08,2018-01-19,1250.0,13.525,2018-04-20,1320.0,34.1,62.34349822998047,1246.8699645996094
78,2018-01-08,2018-01-19,1255.0,11.4,2018-04-20,1340.0,28.2,62.34349822998047,1246.8699645996094
79,2018-01-08,2018-01-19,1260.0,9.575,2018-04-20,1360.0,22.193205309672795,62.34349822998047,1246.8699645996094
80,2018-01-08,2018-01-19,1265.0,7.925,2018-04-20,1380.0,17.26807439900429,62.34349822998047,1246.8699645996094
81,2018-01-08,2018-01-19,1269.9999999999998,6.525,2018-04-20,1400.0000000000002,16.67994775384259,62.34349822998047,1246.8699645996094
82,2018-01-08,2018-01-19,1275.0,5.425,2018-04-20,1420.0,13.219336616956733,62.34349822998047,1246.8699645996094
83,2018-01-08,2018-01-19,1277.5,4.881845743920845,2018-04-20,1440.0,10.224999999999998,62.34349822998047,1246.8699645996094
84,2018-01-08,2018-01-19,1280.0,4.375,2018-04-20,1460.0,7.00694430414437,62.34349822998047,1246.8699645996094
85,2018-01-08,2018-01-19,1287.5,3.422354836572954,2018-04-20,1480.0,6.800000000000001,62.34349822998047,1246.8699645996094
