,t0,T1,K1,C1,T2,K2,C2,S0
38,2018-01-03,2018-01-19,1610,1.448888465097144e-10,2018-04-20,1610,0.21645017106598854,1204.1999816894531
39,2018-01-03,2018-01-19,1655,1.5356722292473323e-12,2018-04-20,1655,0.09534176030967166,1204.1999816894531
40,2018-01-04,2018-01-19,800,410.2881042623147,2018-04-20,800,414.2759852405286,1209.5899963378906
41,2018-01-04,2018-01-19,845,365.3273728330635,2018-04-20,845,369.54902511414105,1209.5899963378906
42,2018-01-04,2018-01-19,890,320.3666414038129,2018-04-20,890,324.865498155053,1209.5899963378906
43,2018-01-04,2018-01-19,935,275.405909976714,2018-04-20,935,280.3503125223997,1209.5899963378906
44,2018-01-04,2018-01-19,980,230.44518032213327,2018-04-20,980,236.33642358327768,1209.5899963378906
45,2018-01-04,2018-01-19,1025,185.48480417332408,2018-04-20,1025,193.50609277004915,1209.5899963378906
46,2018-01-04,2018-01-19,1070,140.54494527822425,2018-04-20,1070,152.95174462915122,1209.5899963378906
47,2018-01-04,2018-01-19,1115,96.00955837599145,2018-04-20,1115,116.0458264384703,1209.5899963378906
48,2018-01-04,2018-01-19,1160,54.54853115048264,2018-04-20,1160,84.11409456446557,1209.5899963378906
49,2018-01-04,2018-01-19,1205,23.061905713039334,2018-04-20,1205,58.051876232823,1209.5899963378906
50,2018-01-04,2018-01-19,1250,6.5565075497030305,2018-04-20,1250,38.07619108012971,1209.5899963378906
51,2018-01-04,2018-01-19,1295,1.1809517038745099,2018-04-20,1295,23.721740926013336,1209.5899963378906
52,2018-01-04,2018-01-19,1340,0.1323101520650827,2018-04-20,1340,14.04565778979557,1209.5899963378906
53,2018-01-04,2018-01-19,1385,0.009298197217353294,2018-04-20,1385,7.914966858928429,1209.5899963378906
54,2018-01-04,2018-01-19,1430,0.0004191557329100677,2018-04-20,1430,4.253331501366829,1209.5899963378906
55,2018-01-04,2018-01-19,1475,1.2471530808571239e-05,2018-04-20,1475,2.1847679120344248,1209.5899963378906
56,2018-01-04,2018-01-19,1520,2.5249364786071115e-07,2018-04-20,1520,1.0754506708417317,1209.5899963378906
57,2018-01-04,2018-01-19,1565,3.5847963986007127e-09,2018-04-20,1565,0.5086699013775915,1209.5899963378906
58,2018-01-04,2018-01-19,1610,3.6734909265726475e-11,2018-04-20,1610,0.231789794960903,1209.5899963378906
59,2018-01-04,2018-01-19,1655,2.791438479069491e-13,2018-04-20,1655,0.1020219550314606,1209.5899963378906
60,2018-01-05,2018-01-19,800,429.77468339736595,2018-04-20,800,433.7621605862941,1229.1400146484375
